"","name","team.x","transfer.path.origin.club.from","transfer.path.origin.league","transfer.path.origin.transfer.fee","lon_o","lat_o","team.y","transfer.path.destination.club.from","transfer.path.destination.league.x","transfer.path.destination.transfer.fee","transfer.path.destination.lon","transfer.path.destination.lat"
"162","Yunis Abdelhamid","Dijon France","FC Valenciennes","Ligue 1",0,3.518332,50.357113,"Dijon France","FC Valenciennes","Ligue 1",0,5.04148,47.322047
"163","Valentin Rosier","Dijon France","Rodez AF","Ligue 1",0,NA,NA,"Dijon France","Rodez AF","Ligue 1",0,5.04148,47.322047
"164","Vincent Rüfli","Dijon France","FC Sion","Ligue 1",0,-6.5030396,53.3655799,"Dijon France","FC Sion","Ligue 1",0,5.04148,47.322047
"165","Guillaume Sarrabayrouse","Dijon France","US Colomiers","Ligue 1",0,1.336579,43.612189,"Dijon France","US Colomiers","Ligue 1",0,5.04148,47.322047
"166","Florent Balmont","Dijon France","LOSC Lille","Ligue 1",0,3.057256,50.62925,"Dijon France","LOSC Lille","Ligue 1",0,5.04148,47.322047
"167","Branimir Hrgota","E Frankfurt Germany","Bor. M'gladbach","Bundesliga",0,NA,NA,"E Frankfurt Germany","Bor. M'gladbach","Bundesliga",0,8.6821267,50.1109221
"168","Omar Mascarell","E Frankfurt Germany","Real Madrid","Bundesliga",0.85,-99.136043,19.2932645,"E Frankfurt Germany","Real Madrid","Bundesliga",0.85,8.6821267,50.1109221
"169","Taleb Tawatha","E Frankfurt Germany","Maccabi Haifa","Bundesliga",1.02,35.07644,32.82672,"E Frankfurt Germany","Maccabi Haifa","Bundesliga",1.02,8.6821267,50.1109221
"170","Danny Blum","E Frankfurt Germany","1.FC Nuremberg","Bundesliga",0,11.3486838,49.5679426,"E Frankfurt Germany","1.FC Nuremberg","Bundesliga",0,8.6821267,50.1109221
"171","Álvaro Vázquez","Espanyol Spain","Getafe CF","La Liga",1.7,NA,NA,"Espanyol Spain","Getafe CF","La Liga",1.7,2.641692,39.6293694
"172","Javi Fuego","Espanyol Spain","Valencia CF","La Liga",0.85,-0.5104759,39.0643597,"Espanyol Spain","Valencia CF","La Liga",0.85,2.641692,39.6293694
"173","Leo Baptistão","Espanyol Spain","Atlético Madrid","La Liga",2.98,-3.7423397,40.3757325,"Espanyol Spain","Atlético Madrid","La Liga",2.98,2.641692,39.6293694
"174","Martín Demichelis","Espanyol Spain","Manchester City","La Liga",0,-71.4547891,42.9956397,"Espanyol Spain","Manchester City","La Liga",0,2.641692,39.6293694
"175","José Manuel Jurado","Espanyol Spain","Watford","La Liga",1.02,-0.39032,51.656489,"Espanyol Spain","Watford","La Liga",1.02,2.641692,39.6293694
"176","David López","Espanyol Spain","SSC Napoli","La Liga",3.4,NA,NA,"Espanyol Spain","SSC Napoli","La Liga",3.4,2.641692,39.6293694
"177","José Antonio Reyes","Espanyol Spain","Sevilla FC","La Liga",0,-109.9259886,27.4907255,"Espanyol Spain","Sevilla FC","La Liga",0,2.641692,39.6293694
"178","Idrissa Gueye","Everton UK","Aston Villa","Premier league",7.23,-77.7914471,43.0824364,"Everton UK","Aston Villa","Premier league",7.23,-1.5919542,50.7459045
"179","Yannick Bolasie","Everton UK","Crystal Palace","Premier league",24.57,-80.0032,40.4398,"Everton UK","Crystal Palace","Premier league",24.57,-1.5919542,50.7459045
"180","Dominic Calvert-Lewin","Everton UK","Sheffield Utd.","Premier league",1.53,-99.4595271,27.5197721,"Everton UK","Sheffield Utd.","Premier league",1.53,-1.5919542,50.7459045
"181","Ashley Williams","Everton UK","Swansea","Premier league",11.9,-3.943646,51.62144,"Everton UK","Swansea","Premier league",11.9,-1.5919542,50.7459045
"182","Alfred Finnbogason","Augsburg FC Germany","Real Sociedad","Bundesliga",3.4,-101.6462224,21.1502441,"Augsburg FC Germany","Real Sociedad","Bundesliga",3.4,10.89779,48.3705449
"183","Georg Teigl","Augsburg FC Germany","RB Leipzig","Bundesliga",0,12.3515611,51.3461081,"Augsburg FC Germany","RB Leipzig","Bundesliga",0,10.89779,48.3705449
"184","Marvin Friedrich","Augsburg FC Germany","FC Schalke 04","Bundesliga",0.85,NA,NA,"Augsburg FC Germany","FC Schalke 04","Bundesliga",0.85,10.89779,48.3705449
"185","Jonathan Schmid","Augsburg FC Germany","TSG Hoffenheim","Bundesliga",4.42,NA,NA,"Augsburg FC Germany","TSG Hoffenheim","Bundesliga",4.42,10.89779,48.3705449
"186","Gojko Kacar","Augsburg FC Germany","Hamburger SV","Bundesliga",0,16.3378572,57.6027778,"Augsburg FC Germany","Hamburger SV","Bundesliga",0,10.89779,48.3705449
"187","Takashi Usami","Augsburg FC Germany","Gamba Osaka","Bundesliga",1.28,NA,NA,"Augsburg FC Germany","Gamba Osaka","Bundesliga",1.28,10.89779,48.3705449
"188","Martin Hinteregger","Augsburg FC Germany","RB Salzburg","Bundesliga",5.95,13.000092,47.815426,"Augsburg FC Germany","RB Salzburg","Bundesliga",5.95,10.89779,48.3705449
"189","André Gomes","FC Barcelona Spain","Valencia CF","La Liga",29.75,-0.5104759,39.0643597,"FC Barcelona Spain","Valencia CF","La Liga",29.75,2.1178229,41.3806915
"190","Lucas Digne","FC Barcelona Spain","Paris SG","La Liga",14.03,2.3350238,48.8533958,"FC Barcelona Spain","Paris SG","La Liga",14.03,2.1178229,41.3806915
"191","Denis Suárez","FC Barcelona Spain","Villarreal CF","La Liga",2.76,-0.1165001,39.9391986,"FC Barcelona Spain","Villarreal CF","La Liga",2.76,2.1178229,41.3806915
"192","Samuel Umtiti","FC Barcelona Spain","Olympique Lyon","La Liga",21.25,-87.7962098,41.7304326,"FC Barcelona Spain","Olympique Lyon","La Liga",21.25,2.1178229,41.3806915
"193","Paco Alcácer","FC Barcelona Spain","Valencia CF","La Liga",25.5,-0.5104759,39.0643597,"FC Barcelona Spain","Valencia CF","La Liga",25.5,2.1178229,41.3806915
"194","Matheus Pereira","FC Empoli Italy","Corinthians","Serie A",1.7,-121.7174504,40.5618791,"FC Empoli Italy","Corinthians","Serie A",1.7,12.2253049,44.1325193
"195","Alberto Gilardino","FC Empoli Italy","US Palermo","Serie A",0,-121.5380243,39.4354432,"FC Empoli Italy","US Palermo","Serie A",0,12.2253049,44.1325193
"196","Manuel Pasqual","FC Empoli Italy","Fiorentina","Serie A",0,10.5355882,42.9636137,"FC Empoli Italy","Fiorentina","Serie A",0,12.2253049,44.1325193
"197","Marcel Büchel","FC Empoli Italy","Juventus","Serie A",1.02,-100.363932,25.733185,"FC Empoli Italy","Juventus","Serie A",1.02,12.2253049,44.1325193
"198","Frédéric Veseli","FC Empoli Italy","FC Lugano","Serie A",0,NA,NA,"FC Empoli Italy","FC Lugano","Serie A",0,12.2253049,44.1325193
"199","Nico Rinderknecht","FC Ingolstadt Germany","Frankfurt U19","Bundesliga",0,-102.4527227,33.6209429,"FC Ingolstadt Germany","Frankfurt U19","Bundesliga",0,11.4257541,48.7665351
"200","Kerem Bülbül","FC Ingolstadt Germany","Hertha BSC II","Bundesliga",0,NA,NA,"FC Ingolstadt Germany","Hertha BSC II","Bundesliga",0,11.4257541,48.7665351
"201","Sonny Kittel","FC Ingolstadt Germany","E. Frankfurt","Bundesliga",0,8.6821267,50.1109221,"FC Ingolstadt Germany","E. Frankfurt","Bundesliga",0,11.4257541,48.7665351
"202","Marcel Tisserand","FC Ingolstadt Germany","Monaco","Bundesliga",2.55,7.4246158,43.7384176,"FC Ingolstadt Germany","Monaco","Bundesliga",2.55,11.4257541,48.7665351
"203","Robert Leipertz","FC Ingolstadt Germany","FC Schalke 04","Bundesliga",1.28,NA,NA,"FC Ingolstadt Germany","FC Schalke 04","Bundesliga",1.28,11.4257541,48.7665351
"204","Robert Leipertz","FC Ingolstadt Germany","FC Schalke 04","Bundesliga",1.28,NA,NA,"Schalke 04 FC   Germany","1.FC Heidenheim","Bundesliga",0.255,51.558816,7.06385
"205","Hauke Wahl","FC Ingolstadt Germany","SC Paderborn","Bundesliga",0,-48.6240564,-26.9996295,"FC Ingolstadt Germany","SC Paderborn","Bundesliga",0,11.4257541,48.7665351
"206","Florent Hadergjonaj","FC Ingolstadt Germany","BSC Young Boys","Bundesliga",1.7,NA,NA,"FC Ingolstadt Germany","BSC Young Boys","Bundesliga",1.7,11.4257541,48.7665351
"207","Faïz Selemani","Lorient FC France","FC Niort","Ligue 1",0.765,-0.464777,46.323716,"Lorient FC France","FC Niort","Ligue 1",0.765,-3.3702449,47.7482524
"208","Cafú","Lorient FC France","Vit. Guimarães","Ligue 1",1.7,-35.2946633,-8.1091303,"Lorient FC France","Vit. Guimarães","Ligue 1",1.7,-3.3702449,47.7482524
"209","Lindsay Rose","Lorient FC France","Olympique Lyon","Ligue 1",1.28,-87.7962098,41.7304326,"Lorient FC France","Olympique Lyon","Ligue 1",1.28,-3.3702449,47.7482524
"210","Yann Jouffre","FC Metz France","FC Lorient","Ligue 1",0,NA,NA,NA,NA,NA,NA,NA,NA
"211","Milan Bisevac","FC Metz France","Lazio","Ligue 1",0,12.989615,41.6552418,NA,NA,NA,NA,NA,NA
"212","Opa Nguette","FC Metz France","FC Valenciennes","Ligue 1",0,3.518332,50.357113,NA,NA,NA,NA,NA,NA
"213","Franck Signorino","FC Metz France","Reims","Ligue 1",0,4.031696,49.258329,NA,NA,NA,NA,NA,NA
"214","Benoît Assou-Ekotto","FC Metz France","Saint-Étienne","Ligue 1",0,4.3871779,45.439695,NA,NA,NA,NA,NA,NA
"215","Diego Carlos","FC Nantes France","Estoril","Ligue 1",1.7,-9.3936558,38.7133152,"FC Nantes France","Estoril","Ligue 1",1.7,-1.553621,47.218371
"216","Mariusz Stepinski","FC Nantes France","Ruch Chorzow","Ligue 1",1.7,18.943618,50.2836215,"FC Nantes France","Ruch Chorzow","Ligue 1",1.7,-1.553621,47.218371
"217","Lucas Lima","FC Nantes France","Arouca","Ligue 1",0.935,-8.245099,40.9321489,"FC Nantes France","Arouca","Ligue 1",0.935,-1.553621,47.218371
"218","Nicolaj Thomsen","FC Nantes France","Aalborg BK","Ligue 1",0.51,NA,NA,"FC Nantes France","Aalborg BK","Ligue 1",0.51,-1.553621,47.218371
"219","Alexander Kacaniklic","FC Nantes France","Fulham FC","Ligue 1",0,-0.2470864,51.3912756,"FC Nantes France","Fulham FC","Ligue 1",0,-1.553621,47.218371
"220","Benjamin Stambouli","Schalke 04 FC   Germany","Paris SG","Bundesliga",7.23,2.3350238,48.8533958,"Schalke 04 FC   Germany","Paris SG","Bundesliga",7.23,51.558816,7.06385
"221","Coke","Schalke 04 FC   Germany","Sevilla FC","Bundesliga",3.4,-109.9259886,27.4907255,"Schalke 04 FC   Germany","Sevilla FC","Bundesliga",3.4,51.558816,7.06385
"222","Robert Leipertz","Schalke 04 FC   Germany","1.FC Heidenheim","Bundesliga",0.255,10.1610948,48.6893963,"FC Ingolstadt Germany","FC Schalke 04","Bundesliga",1.28,11.4257541,48.7665351
"223","Robert Leipertz","Schalke 04 FC   Germany","1.FC Heidenheim","Bundesliga",0.255,10.1610948,48.6893963,"Schalke 04 FC   Germany","1.FC Heidenheim","Bundesliga",0.255,51.558816,7.06385
"224","Breel Embolo","Schalke 04 FC   Germany","FC Basel","Bundesliga",19.13,NA,NA,"Schalke 04 FC   Germany","FC Basel","Bundesliga",19.13,51.558816,7.06385
"225","Naldo","Schalke 04 FC   Germany","VfL Wolfsburg","Bundesliga",0,10.7979685,52.4257066,"Schalke 04 FC   Germany","VfL Wolfsburg","Bundesliga",0,51.558816,7.06385
"226","Kevin Diks","Fiorentina Italy","Vitesse","Serie A",2.38,137.7577072,34.7298543,"Fiorentina Italy","Vitesse","Serie A",2.38,10.5355882,42.9636137
"227","Hrvoje Milic","Fiorentina Italy","Hajduk Split","Serie A",0.85,NA,NA,"Fiorentina Italy","Hajduk Split","Serie A",0.85,10.5355882,42.9636137
"228","Davide Astori","Fiorentina Italy","Cagliari Calcio","Serie A",2.98,9.0901144,39.2132322,"Fiorentina Italy","Cagliari Calcio","Serie A",2.98,10.5355882,42.9636137
"229","Ianis Hagi","Fiorentina Italy","FC Viitorul","Serie A",1.7,26.7703412,44.6087232,"Fiorentina Italy","FC Viitorul","Serie A",1.7,10.5355882,42.9636137
"230","Jérémy Ménez","G Bordeaux France","AC Milan","Ligue 1",0,6.2230139,50.7654394,"G Bordeaux France","AC Milan","Ligue 1",0,-0.57918,44.837789
"231","François Kamano","G Bordeaux France","SC Bastia","Ligue 1",2.13,-80.8614958,35.0383688,"G Bordeaux France","SC Bastia","Ligue 1",2.13,-0.57918,44.837789
"232","Jérémy Toulalan","G Bordeaux France","Monaco","Ligue 1",0,7.4246158,43.7384176,"G Bordeaux France","Monaco","Ligue 1",0,-0.57918,44.837789
"233","Igor Lewczuk","G Bordeaux France","Legia Warszawa","Ligue 1",0.85,21.04523,52.22095,"G Bordeaux France","Legia Warszawa","Ligue 1",0.85,-0.57918,44.837789
"234","Lucas Orbán","Genoa Italy","Valencia CF","Serie A",0,-0.5104759,39.0643597,"Genoa Italy","Valencia CF","Serie A",0,8.946256,44.4056499
"235","Cristian Ansaldi","Genoa Italy","Zenit S-Pb","Serie A",3.4,75.8253215,30.9258866,"Genoa Italy","Zenit S-Pb","Serie A",3.4,8.946256,44.4056499
"236","Cristian Ansaldi","Genoa Italy","Zenit S-Pb","Serie A",3.4,75.8253215,30.9258866,"Inter Milan Italy","Genoa","Serie A",5.1,9.314365,45.659238
"237","Santiago Gentiletti","Genoa Italy","Lazio","Serie A",0.425,12.989615,41.6552418,"Genoa Italy","Lazio","Serie A",0.425,8.946256,44.4056499
"238","Diego Laxalt","Genoa Italy","Inter","Serie A",3.4,-89.6412899,20.9544631,"Genoa Italy","Inter","Serie A",3.4,8.946256,44.4056499
"239","Giovanni Simeone","Genoa Italy","River Plate","Serie A",2.55,-56.741207,-35.1944557,"Genoa Italy","River Plate","Serie A",2.55,8.946256,44.4056499
"240","Davide Biraschi","Genoa Italy","Avellino","Serie A",1.36,14.7906121,40.914388,"Genoa Italy","Avellino","Serie A",1.36,8.946256,44.4056499
"241","Miguel Veloso","Genoa Italy","Dynamo Kyiv","Serie A",0,30.564428,50.32,"Genoa Italy","Dynamo Kyiv","Serie A",0,8.946256,44.4056499
"242","Bartosz Wolski","Genoa Italy","Latina U19","Serie A",0,-117.8194417,33.6817096,"Genoa Italy","Latina U19","Serie A",0,8.946256,44.4056499
"243","Nikola Ninkovic","Genoa Italy","Chievo Verona","Serie A",0.468,10.9466529,45.4575193,"Genoa Italy","Chievo Verona","Serie A",0.468,8.946256,44.4056499
"244","Omer Atzili","Granada CF Spain","B. Jerusalem","La Liga",0.638,35.21371,31.768319,"Granada CF Spain","B. Jerusalem","La Liga",0.638,-3.0106774,36.7460566
"245","Tito","Granada CF Spain","Rayo Vallecano","La Liga",0,-70.5831446,-33.5191938,"Granada CF Spain","Rayo Vallecano","La Liga",0,-3.0106774,36.7460566
"246","Matthieu Saunier","Granada CF Spain","Troyes","La Liga",0,4.0744009,48.2973451,"Granada CF Spain","Troyes","La Liga",0,-3.0106774,36.7460566
"247","José Angulo","Granada CF Spain","Independiente","La Liga",3.42,-109.6332428,26.9164761,"Granada CF Spain","Independiente","La Liga",3.42,-3.0106774,36.7460566
"248","Mehdi Carcela-González","Granada CF Spain","Benfica","La Liga",3.4,-43.2397455,-22.8926246,"Granada CF Spain","Benfica","La Liga",3.4,-3.0106774,36.7460566
"249","Alexandre Mendy","Guingamp France","OGC Nice","Ligue 1",0,NA,NA,NA,NA,NA,NA,NA,NA
"250","Douglas Santos","Hamburger SV Germany","Atlético-MG","Bundesliga",6.38,-43.8915588,-19.8680952,"Hamburger SV Germany","Atlético-MG","Bundesliga",6.38,9.9044926,53.6617101
"251","Filip Kostic","Hamburger SV Germany","VfB Stuttgart","Bundesliga",11.9,NA,NA,"Hamburger SV Germany","VfB Stuttgart","Bundesliga",11.9,9.9044926,53.6617101
"252","Bobby Wood","Hamburger SV Germany","Union Berlin","Bundesliga",2.98,-83.816546,39.396189,"Hamburger SV Germany","Union Berlin","Bundesliga",2.98,9.9044926,53.6617101
"253","Luca Waldschmidt","Hamburger SV Germany","E. Frankfurt","Bundesliga",1.11,8.6821267,50.1109221,"Hamburger SV Germany","E. Frankfurt","Bundesliga",1.11,9.9044926,53.6617101
"254","Arianit Ferati","Hamburger SV Germany","VfB Stuttgart","Bundesliga",0.723,NA,NA,"Hamburger SV Germany","VfB Stuttgart","Bundesliga",0.723,9.9044926,53.6617101
"255","Alen Halilovic","Hamburger SV Germany","FC Barcelona","Bundesliga",4.25,2.1178229,41.3806915,"Hamburger SV Germany","FC Barcelona","Bundesliga",4.25,9.9044926,53.6617101
"256","Ondrej Duda","Hertha Berlin Germany","Legia Warszawa","Bundesliga",3.57,21.04523,52.22095,"Hertha Berlin Germany","Legia Warszawa","Bundesliga",3.57,13.2802528,52.4876874
"257","Alexander Esswein","Hertha Berlin Germany","FC Augsburg","Bundesliga",2.13,NA,NA,"Hertha Berlin Germany","FC Augsburg","Bundesliga",2.13,13.2802528,52.4876874
"258","Vedad Ibisevic","Hertha Berlin Germany","VfB Stuttgart","Bundesliga",0,NA,NA,"Hertha Berlin Germany","VfB Stuttgart","Bundesliga",0,13.2802528,52.4876874
"259","James Weir","Hull City UK","Man Utd U23","Premier league",0.17,-118.4120366,33.9597525,"Hull City UK","Man Utd U23","Premier league",0.17,-0.3367413,53.7456709
"260","Ryan Mason","Hull City UK","Spurs","Premier league",13.09,-109.30151,35.1709339,"Hull City UK","Spurs","Premier league",13.09,-0.3367413,53.7456709
"261","Markus Henriksen","Hull City UK","AZ Alkmaar","Premier league",4.51,4.7601215,52.62921,"Hull City UK","AZ Alkmaar","Premier league",4.51,-0.3367413,53.7456709
"262","Will Keane","Hull City UK","Manchester Utd.","Premier league",1.02,-118.3425748,33.9600196,"Hull City UK","Manchester Utd.","Premier league",1.02,-0.3367413,53.7456709
"263","Antonio Candreva","Inter Milan Italy","Lazio","Serie A",18.7,12.989615,41.6552418,"Inter Milan Italy","Lazio","Serie A",18.7,9.314365,45.659238
"264","Gianluca Caprari","Inter Milan Italy","Pescara","Serie A",3.83,14.2160898,42.4617902,"Inter Milan Italy","Pescara","Serie A",3.83,9.314365,45.659238
"265","Marcelo Brozovic","Inter Milan Italy","Dinamo Zagreb","Serie A",4.25,16.1163926,45.7062291,"Inter Milan Italy","Dinamo Zagreb","Serie A",4.25,9.314365,45.659238
"266","Gabriel","Inter Milan Italy","Santos FC","Serie A",25.08,121.0129285,14.4528924,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"267","Gabriel","Inter Milan Italy","Santos FC","Serie A",25.08,121.0129285,14.4528924,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"268","Stevan Jovetic","Inter Milan Italy","Manchester City","Serie A",12.33,-71.4547891,42.9956397,"Inter Milan Italy","Manchester City","Serie A",12.33,9.314365,45.659238
"269","João Mário","Inter Milan Italy","Sporting CP","Serie A",34,-76.9714224,40.2313116,"Inter Milan Italy","Sporting CP","Serie A",34,9.314365,45.659238
"270","Caner Erkin","Inter Milan Italy","Fenerbahce","Serie A",0,24.4447587,36.7252955,"Inter Milan Italy","Fenerbahce","Serie A",0,9.314365,45.659238
"271","Éver Banega","Inter Milan Italy","Sevilla FC","Serie A",0,-109.9259886,27.4907255,"Inter Milan Italy","Sevilla FC","Serie A",0,9.314365,45.659238
"272","Dodô","Inter Milan Italy","AS Roma","Serie A",6.63,-58.5214952,-34.6284822,"Inter Milan Italy","AS Roma","Serie A",6.63,9.314365,45.659238
"273","Cristian Ansaldi","Inter Milan Italy","Genoa","Serie A",5.1,8.946256,44.4056499,"Genoa Italy","Zenit S-Pb","Serie A",3.4,8.946256,44.4056499
"274","Cristian Ansaldi","Inter Milan Italy","Genoa","Serie A",5.1,8.946256,44.4056499,"Inter Milan Italy","Genoa","Serie A",5.1,9.314365,45.659238
"275","Rey Manaj","Inter Milan Italy","Cremonese","Serie A",0.425,-116.8728141,32.5103649,"Inter Milan Italy","Cremonese","Serie A",0.425,9.314365,45.659238
"276","Gabriel","Inter Milan Italy","Santos FC","Serie A",25.08,121.0129285,14.4528924,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"277","Gabriel","Inter Milan Italy","Santos FC","Serie A",25.08,121.0129285,14.4528924,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"278","Simone Ganz","Juventus Turin Italy","Como","Serie A",0,9.0851765,45.8080597,"Juventus Turin Italy","Como","Serie A",0,7.61394,44.97794
"279","Mario Lemina","Juventus Turin Italy","Marseille","Serie A",8.08,5.36978,43.296482,"Juventus Turin Italy","Marseille","Serie A",8.08,7.61394,44.97794
"280","Miralem Pjanic","Juventus Turin Italy","AS Roma","Serie A",27.2,-58.5214952,-34.6284822,"Juventus Turin Italy","AS Roma","Serie A",27.2,7.61394,44.97794
"281","Dani Alves","Juventus Turin Italy","FC Barcelona","Serie A",0,2.1178229,41.3806915,"Juventus Turin Italy","FC Barcelona","Serie A",0,7.61394,44.97794
"282","Marko Pjaca","Juventus Turin Italy","Dinamo Zagreb","Serie A",19.55,16.1163926,45.7062291,"Juventus Turin Italy","Dinamo Zagreb","Serie A",19.55,7.61394,44.97794
"283","Gonzalo Higuaín","Juventus Turin Italy","SSC Napoli","Serie A",76.5,NA,NA,"Juventus Turin Italy","SSC Napoli","Serie A",76.5,7.61394,44.97794
"284","Jordan Lukaku","Lazio Italy","KV Oostende","Serie A",4.25,2.928656,51.21543,"Lazio Italy","KV Oostende","Serie A",4.25,12.989615,41.6552418
"285","Luis Alberto","Lazio Italy","Liverpool","Serie A",4.25,-2.9915726,53.4083714,"Lazio Italy","Liverpool","Serie A",4.25,12.989615,41.6552418
"286","Bastos","Lazio Italy","Rostov","Serie A",5.53,39.701505,47.2357137,"Lazio Italy","Rostov","Serie A",5.53,12.989615,41.6552418
"287","Moritz Leitner","Lazio Italy","Bor. Dortmund","Serie A",1.7,7.3714033,51.4918469,"Lazio Italy","Bor. Dortmund","Serie A",1.7,12.989615,41.6552418
"288","Ciro Immobile","Lazio Italy","Sevilla FC","Serie A",7.23,-109.9259886,27.4907255,"Lazio Italy","Sevilla FC","Serie A",7.23,12.989615,41.6552418
"289","Wallace","Lazio Italy","Braga","Serie A",6.8,-8.426507,41.5454486,"Lazio Italy","Braga","Serie A",6.8,12.989615,41.6552418
"290","Islam Slimani","Leicester UK","Sporting CP","Premier league",25.5,-76.9714224,40.2313116,"Leicester UK","Sporting CP","Premier league",25.5,-1.1397592,52.6368778
"291","Luis Hernández","Leicester UK","Sporting Gijón","Premier league",0,-5.6386025,43.5347956,"Leicester UK","Sporting Gijón","Premier league",0,-1.1397592,52.6368778
"292","Ahmed Musa","Leicester UK","CSKA Moscow","Premier league",16.58,37.436128,55.817478,"Leicester UK","CSKA Moscow","Premier league",16.58,-1.1397592,52.6368778
"293","Bartosz Kapustka","Leicester UK","Cracovia Kraków","Premier league",7.65,19.9449799,50.0646501,"Leicester UK","Cracovia Kraków","Premier league",7.65,-1.1397592,52.6368778
"294","Nampalys Mendy","Leicester UK","OGC Nice","Premier league",13.18,NA,NA,"Leicester UK","OGC Nice","Premier league",13.18,-1.1397592,52.6368778
"295","Ragnar Klavan","Liverpool UK","FC Augsburg","Premier league",4.25,NA,NA,"Liverpool UK","FC Augsburg","Premier league",4.25,-2.9915726,53.4083714
"296","Georginio Wijnaldum","Liverpool UK","Newcastle","Premier league",23.38,-1.61778,54.978252,"Liverpool UK","Newcastle","Premier league",23.38,-2.9915726,53.4083714
"297","Sadio Mané","Liverpool UK","Southampton","Premier league",35.02,-1.4043509,50.9097004,"Liverpool UK","Southampton","Premier league",35.02,-2.9915726,53.4083714
"298","Joel Matip","Liverpool UK","FC Schalke 04","Premier league",0,NA,NA,"Liverpool UK","FC Schalke 04","Premier league",0,-2.9915726,53.4083714
"299","Éder","LOSC Lille France","Swansea","Ligue 1",3.83,-3.943646,51.62144,"LOSC Lille France","Swansea","Ligue 1",3.83,3.057256,50.62925
"300","Julian Palmieri","LOSC Lille France","SC Bastia","Ligue 1",0,-80.8614958,35.0383688,"LOSC Lille France","SC Bastia","Ligue 1",0,3.057256,50.62925
"301","Jony","Málaga CF Spain","Sporting Gijón","La Liga",0,-5.6386025,43.5347956,NA,NA,NA,NA,NA,NA
"302","Miguel Cifuentes","Málaga CF Spain","Elche CF","La Liga",0,-0.6690555,38.2645632,NA,NA,NA,NA,NA,NA
"303","Mikel Villanueva","Málaga CF Spain","Deportivo Lara","La Liga",0.255,-97.4273474,20.5108831,NA,NA,NA,NA,NA,NA
"304","Keko","Málaga CF Spain","SD Eibar","La Liga",4.25,NA,NA,NA,NA,NA,NA,NA,NA
"305","Sandro Ramírez","Málaga CF Spain","FC Barcelona","La Liga",0,2.1178229,41.3806915,NA,NA,NA,NA,NA,NA
"306","Bakary Koné","Málaga CF Spain","Olympique Lyon","La Liga",0.68,-87.7962098,41.7304326,NA,NA,NA,NA,NA,NA
"307","Michael Santos","Málaga CF Spain","River Plate","La Liga",3.4,-56.741207,-35.1944557,NA,NA,NA,NA,NA,NA
"308","John Stones","Manchester City UK","Everton","Premier league",47.26,-93.702428,37.3425477,"Manchester City UK","Everton","Premier league",47.26,-2.2426305,53.4807593
"309","Nolito","Manchester City UK","Celta de Vigo","Premier league",15.3,-90.6163146,19.7894724,"Manchester City UK","Celta de Vigo","Premier league",15.3,-2.2426305,53.4807593
"310","Aaron Mooy","Manchester City UK","Melbourne City","Premier league",0,-80.6081089,28.0836269,"Manchester City UK","Melbourne City","Premier league",0,-2.2426305,53.4807593
"311","Pablo Marí","Manchester City UK","Gimnàstic","Premier league",0.17,-0.5222117,38.404561,"Manchester City UK","Gimnàstic","Premier league",0.17,-2.2426305,53.4807593
"312","Leroy Sané","Manchester City UK","FC Schalke 04","Premier league",42.5,NA,NA,"Manchester City UK","FC Schalke 04","Premier league",42.5,-2.2426305,53.4807593
"313","Oleksandr Zinchenko","Manchester City UK","Ufa","Premier league",1.7,55.9720554,54.7387621,"Manchester City UK","Ufa","Premier league",1.7,-2.2426305,53.4807593
"314","Ilkay Gündogan","Manchester City UK","Bor. Dortmund","Premier league",22.95,7.3714033,51.4918469,"Manchester City UK","Bor. Dortmund","Premier league",22.95,-2.2426305,53.4807593
"315","Marlos Moreno","Manchester City UK","Atl. Nacional","Premier league",4.68,-67.1107365,-17.9617328,"Manchester City UK","Atl. Nacional","Premier league",4.68,-2.2426305,53.4807593
"316","Gabriel Jesus","Manchester City UK","Palmeiras","Premier league",27.2,-43.97962,-19.9708055,"Manchester City UK","Palmeiras","Premier league",27.2,-2.2426305,53.4807593
"317","Zlatan Ibrahimovic","Manchester Utd UK","Paris SG","Premier league",0,2.3350238,48.8533958,"Manchester Utd UK","Paris SG","Premier league",0,-2.2906546,53.4622546
"318","Eric Bailly","Manchester Utd UK","Villarreal CF","Premier league",32.3,-0.1165001,39.9391986,"Manchester Utd UK","Villarreal CF","Premier league",32.3,-2.2906546,53.4622546
"319","Henrikh Mkhitaryan","Manchester Utd UK","Bor. Dortmund","Premier league",35.7,7.3714033,51.4918469,"Manchester Utd UK","Bor. Dortmund","Premier league",35.7,-2.2906546,53.4622546
"320","Paul Pogba","Manchester Utd UK","Juventus","Premier league",89.25,-100.363932,25.733185,"Manchester Utd UK","Juventus","Premier league",89.25,-2.2906546,53.4622546
"321","Rémy Cabella","Marseille France","Newcastle","Ligue 1",6.8,-1.61778,54.978252,"Marseille France","Newcastle","Ligue 1",6.8,5.36978,43.296482
"322","Tomas Hubocan","Marseille France","Dinamo Moscow","Ligue 1",1.02,37.5595953,55.7891159,"Marseille France","Dinamo Moscow","Ligue 1",1.02,5.36978,43.296482
