"","name","transfer.date","club.from","club.to","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","league","Status"
"37","Marko Grujic","2016/1/6","Red Star","Liverpool",5950000,"
                                Midfield                            ","Serbia","Belgrad",15,2,0,5,5,3,0,0,0,465,930,29.7659137577002,"1996/4/13",19.7316906228611,"Premier league","Middle Club"
"38","Joe Gomez","2015/7/1","Charlton","Liverpool",4170000,"
                                Defender                            ","England","Catford",24,0,1,6,6,2,0,0,0,NA,1664,23.9835728952772,"1997/5/23",18.1054072553046,"Premier league","Middle Club"
"39","James Milner","2015/7/1","Manchester City","Liverpool",0,"
                                Midfield                            ","England","Leeds",45,8,9,17,17,7,0,0,0,338,2703,NA,"1986/1/4",29.4866529774127,"Premier league","Middle Club"
"40","Virgil van Dijk","2015/9/1","Celtic","Southampton",13350000,"
                                Defender                            ","Netherlands","Breda",58,10,6,0,0,7,1,1,0,512,5117,NA,"1991/7/8",24.1505817932923,"Premier league","Middle Club"
"41","Jordy Clasie","2015/7/15","Feyenoord","Southampton",10200000,"
                                Midfield                            ","Netherlands","Haarlem",46,2,6,0,0,14,0,0,0,2047,4094,35.5154004106776,"1991/6/27",24.0492813141684,"Premier league","Middle Club"
"42","Oriol Romeu","2015/8/12","Chelsea","Southampton",5950000,"
                                Midfield                            ","Spain","Ulldecona",28,0,0,7,7,8,0,0,0,NA,1882,22.6036960985626,"1991/9/24",23.8822724161533,"Premier league","Middle Club"
"43","Juanmi","2015/7/1","Málaga CF","Southampton",5950000,"
                                Attacker                            ","Spain","Coín",38,8,2,8,8,4,0,0,0,319,2552,35.9753593429158,"1993/5/20",22.113620807666,"Premier league","Middle Club"
"44","Cédric Soares","2015/7/1","Sporting CP","Southampton",4680000,"
                                Defender                            ","Portugal","Singen",35,0,3,2,2,10,1,1,0,NA,2870,11.9917864476386,"1991/8/31",23.8329911019849,"Premier league","Middle Club"
"45","Charlie Austin","2016/1/16","QPR","Southampton",4420000,"
                                Attacker                            ","England","Hungerford",36,18,7,0,0,4,1,0,3,176,3159,5.45379876796715,"1989/7/5",26.5325119780972,"Premier league","Middle Club"
"46","Cuco Martina","2015/7/7","FC Twente","Southampton",1280000,"
                                Defender                            ","Curacao","Rotterdam",39,0,2,1,1,5,0,0,0,NA,3512,11.7946611909651,"1989/9/25",25.7796030116359,"Premier league","Middle Club"
"47","Alberto Paloschi","2016/1/29","Chievo Verona","Swansea",8080000,"
                                Attacker                            ","Italy","Chiari",38,9,3,7,7,2,0,0,0,299,2691,NA,"1990/1/4",26.0670773442847,"Premier league","Middle Club"
"48","Éder","2015/7/1","Braga","Swansea",5700000,"
                                Attacker                            ","Portugal","Bissau",38,14,3,14,14,4,0,0,3,160,2237,NA,"1987/12/22",27.523613963039,"Premier league","Middle Club"
"49","Franck Tabanou","2015/7/1","Saint-Étienne","Swansea",4170000,"
                                Defender                            ","France","Thiais",43,2,5,3,3,8,0,0,0,1841,3681,23.9835728952772,"1989/1/30",26.4147843942505,"Premier league","Middle Club"
"50","Botti Biabi","2015/8/17","Falkirk FC","Swansea",179000,"
                                Attacker                            ","Scotland","London",31,4,1,19,19,1,0,1,0,313,1250,21.4537987679671,"1996/3/8",19.4414784394251,"Premier league","Middle Club"
"51","André Ayew","2015/7/1","Marseille","Swansea",0,"
                                Attacker                            ","Ghana","Seclin",30,11,6,2,2,6,1,0,0,229,2519,NA,"1989/12/17",25.5359342915811,"Premier league","Middle Club"
"52","Giannelli Imbula","2016/2/1","FC Porto","Stoke City",20610000,"
                                Midfield                            ","France","Vilvoorde",39,2,3,0,0,6,0,0,0,1693,3386,52.9281314168378,"1992/9/12",23.3867214236824,"Premier league","Middle Club"
"53","Xherdan Shaqiri","2015/8/11","Inter","Stoke City",14450000,"
                                Attacker                            ","Switzerland","Gjilan",35,5,4,17,17,7,0,0,1,341,1707,46.6201232032854,"1991/10/10",23.8357289527721,"Premier league","Middle Club"
"54","Joselu","2015/7/1","Hannover 96","Stoke City",6800000,"
                                Attacker                            ","Spain","Stuttgart",32,10,4,2,2,4,0,0,1,265,2654,35.9753593429158,"1990/3/27",25.2621492128679,"Premier league","Middle Club"
"55","Philipp Wollscheid","2015/7/1","Bay. Leverkusen","Stoke City",3230000,"
                                Defender                            ","Germany","Wadern",19,0,1,3,3,5,0,0,0,NA,1395,23.9835728952772,"1989/3/6",26.3189596167009,"Premier league","Middle Club"
"56","Glen Johnson","2015/7/12","Liverpool","Stoke City",0,"
                                Defender                            ","England","London",28,1,0,6,6,2,0,0,0,2031,2031,NA,"1984/8/23",30.8829568788501,"Premier league","Middle Club"
"57","Ibrahim Afellay","2015/7/27","FC Barcelona","Stoke City",0,"
                                Attacker                            ","Netherlands","Utrecht",29,6,4,7,7,5,0,0,0,300,1802,NA,"1986/4/2",29.3169062286105,"Premier league","Middle Club"
"58","Yohan Cabaye","2015/7/10","Paris SG","Crystal Palace",11820000,"
                                Midfield                            ","France","Tourcoing",36,2,1,16,16,7,1,0,0,817,1634,23.6878850102669,"1986/1/14",29.4839151266256,"Premier league","Middle Club"
"59","Connor Wickham","2015/8/3","Sunderland","Crystal Palace",8500000,"
                                Attacker                            ","England","Hereford",40,6,1,8,8,8,0,0,0,496,2974,46.8829568788501,"1993/3/31",22.3408624229979,"Premier league","Middle Club"
"60","Bakary Sako","2015/8/5","Wolves","Crystal Palace",0,"
                                Attacker                            ","Mali","Ivry-sur-Seine",43,15,10,3,3,2,0,1,3,238,3572,NA,"1988/4/26",27.27446954141,"Premier league","Middle Club"
