"","index","lon","lat"
"1048",852,-89.6557551,20.9354162
"1049",852,-118.3425748,33.9600196
"1050",852,7.3714033,51.4918469
"1051",852,8.274477,48.084436
"1052",852,16.3378572,57.6027778
"1054",852,13.000092,47.815426
"1056",852,8.4145779,49.0168232
"1057",852,4.7601215,52.62921
"1058",852,6.9946126,51.0157534
"1059",852,6.9946126,51.0157534
"1062",852,12.3996736,44.2048479
"1063",852,-109.9259886,27.4907255
"1065",852,-71.4547891,42.9956397
"1066",852,8.809285,53.0696545
"1067",852,11.3486838,49.5679426
"1068",852,27.1378769,43.8149115
"1069",852,-48.6240564,-26.9996295
"1070",852,8.274477,48.084436
"1071",852,6.9946126,51.0157534
"1072",852,8.274477,48.084436
"1074",852,-106.4019378,23.2213193
"1075",852,-83.979401,39.1865662
"1078",852,8.274477,48.084436
"1079",852,14.418488,50.099298
"1080",852,5.948749,52.9628225
"1081",852,18.2223516,47.8086109
"1082",852,13.000092,47.815426
"1083",852,11.3486838,49.5679426
"1084",852,-103.5459068,44.0382334
"1085",852,37.5595953,55.7891159
"1088",852,-103.3496092,20.6596988
"1092",852,20.050788,45.5035892
"1096",852,16.3738189,48.2081743
"1097",852,6.9946126,51.0157534
"1099",852,4.7601215,52.62921
"1101",852,-95.4987565,39.5838828
"1102",852,-109.30151,35.1709339
"1104",852,8.6821267,50.1109221
"1106",852,139.8820686,35.6713127
"1107",852,10.5267696,52.2688736
"1108",852,10.1610948,48.6893963
"1109",852,30.4300917,-24.2606201
"1110",852,6.9946126,51.0157534
"1114",852,16.3378572,57.6027778
"1115",852,35.4611795,38.7648782
"1116",852,-58.5214952,-34.6284822
"1117",852,8.927711,50.108607
"1119",852,7.3714033,51.4918469
"1120",852,-70.8273689,42.118527
"1121",852,-100.363932,25.733185
"1124",852,8.274477,48.084436
"1125",852,4.3871779,45.439695
"1126",852,8.274477,48.084436
"1128",852,10.1712285,59.739377
"1129",852,-106.4019378,23.2213193
"1130",852,6.7734556,51.2277411
"1131",852,135.5657049,34.7995141
"1132",852,92.521652,34.31963
"1134",852,7.3714033,51.4918469
"1135",852,40.4092588,45.3541347
"1136",852,29.3190451,40.8236671
"1137",852,12.3515611,51.3461081
"1138",852,12.3515611,51.3461081
"1139",852,5.4660837,51.4432096
"1140",852,16.0043919,49.2252519
"1141",852,10.1610948,48.6893963
"1142",852,-48.6240564,-26.9996295
"1143",852,-3.7423397,40.3757325
"1144",852,8.274477,48.084436
"1145",852,11.3486838,49.5679426
"1146",852,11.5819806,48.1351253
"1147",852,11.5819806,48.1351253
"1148",852,-109.30151,35.1709339
"1149",852,9.0901144,39.2132322
"1150",852,10.7979685,52.4257066
"1155",852,73.1375421,32.2380686
"1157",852,8.270781,47.1009823
"1158",852,-48.6240564,-26.9996295
"1160",852,16.3738189,48.2081743
"1162",852,8.927711,50.108607
"1163",852,-48.6240564,-26.9996295
"1167",852,-98.596603,29.5134897
"1168",852,8.6821267,50.1109221
"1171",852,11.3426163,44.494887
"1172",852,-3.7423397,40.3757325
"1173",852,-109.9259886,27.4907255
"1174",852,12.3996736,44.2048479
"1175",852,-89.6412899,20.9544631
"1176",852,2.641692,39.6293694
"1177",852,-98.2108921,19.0800113
"1178",852,2.6667109,39.6451791
"1179",852,2.641692,39.6293694
"1180",852,2.641692,39.6293694
"1181",852,12.3996736,44.2048479
"1182",852,10.5355882,42.9636137
"1183",852,-0.1165001,39.9391986
"1184",852,7.4246158,43.7384176
"1185",852,-71.0328284,42.3917638
"1186",852,-56.741207,-35.1944557
"1187",852,-35.2946633,-8.1091303
"1188",852,-90.6163146,19.7894724
"1189",852,-76.5602562,3.4492899
"1190",852,-71.4547891,42.9956397
"1191",852,7.4246158,43.7384176
"1192",852,-43.2397455,-22.8926246
"1193",852,-43.2397455,-22.8926246
"1194",852,-90.6163146,19.7894724
"1195",852,-8.426507,41.5454486
"1197",852,-90.6163146,19.7894724
"1198",852,5.4660837,51.4432096
"1199",852,7.3714033,51.4918469
"1200",852,-2.179404,53.002668
"1201",852,-2.9915726,53.4083714
"1202",852,-2.9915726,53.4083714
"1203",852,-71.0328284,42.3917638
"1204",852,6.2230139,50.7654394
"1205",852,-0.57918,44.837789
