"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"172","Everton","Yannick Bolasie","2016/8/15","Crystal Palace",24.57,"
                                Attacker                            ","Congo DR","Lyon",31,6,6,4,4,4,0,0,0,411,2464,34.4640657084189,"1989/5/24",27.2279260780287,61800,"Premier league","Middle Club"
"173","Everton","Dominic Calvert-Lewin","2016/8/31","Sheffield Utd.",1.53,"
                                Attacker                            ",NA,NA,35,8,1,21,21,4,0,0,0,198,1586,21.9466119096509,"1997/3/16",19.460643394935,2270,"Premier league","Middle Club"
"174","Everton","Ashley Williams","2016/8/10","Swansea",11.9,"
                                Defender                            ","Wales","Wolverhampton",36,2,1,0,0,8,0,0,0,1620,3240,22.6365503080082,"1984/8/23",31.9644079397673,53600,"Premier league","Middle Club"
"175","FC Augsburg","Alfred Finnbogason","2016/7/1","Real Sociedad",3.4,"
                                Attacker                            ","Iceland","Reykjavík",27,9,4,9,9,4,0,0,2,186,1674,NA,"1989/2/1",27.4113620807666,12200,"Bundesliga","Middle Club"
"176","FC Augsburg","Georg Teigl","2016/7/1","RB Leipzig",0,"
                                Defender                            ","Austria","Wien",15,2,0,4,4,1,0,0,0,525,1049,NA,"1991/2/9",25.3908281998631,1140,"Bundesliga","Middle Club"
"177","FC Augsburg","Marvin Friedrich","2016/7/1","FC Schalke 04",0.85,"
                                Defender                            ","Germany","Kassel",18,1,0,3,3,1,0,0,0,1363,1363,23.9507186858316,"1995/12/13",20.5503080082136,369,"Bundesliga","Middle Club"
"178","FC Augsburg","Jonathan Schmid","2016/8/26","TSG Hoffenheim",4.42,"
                                Attacker                            ","France","Straßburg",24,4,0,7,7,1,0,0,0,386,1543,NA,"1990/6/22",26.1793292265572,18800,"Bundesliga","Middle Club"
"179","FC Augsburg","Gojko Kacar","2016/7/19","Hamburger SV",0,"
                                Midfield                            ","Serbia","Novi Sad",19,1,0,7,7,3,0,0,0,1117,1117,NA,"1987/1/26",29.4784394250513,4980,"Bundesliga","Middle Club"
"180","FC Augsburg","Takashi Usami","2016/7/1","Gamba Osaka",1.28,"
                                Attacker                            ","Japan","Nagaokakyo, Kyoto",23,6,7,2,2,0,0,0,0,312,1870,NA,"1992/5/6",24.1533196440794,10700,"Bundesliga","Middle Club"
"181","FC Augsburg","Martin Hinteregger","2016/8/31","RB Salzburg",5.95,"
                                Defender                            ","Austria","Feldkirchen",23,1,2,4,4,3,0,0,1,1858,1858,33.9383983572895,"1992/9/7",23.9808350444901,24000,"Bundesliga","Middle Club"
"182","FC Barcelona","André Gomes","2016/7/21","Valencia CF",29.75,"
                                Midfield                            ","Portugal","Vila Nova de Gaia",41,4,7,7,7,14,0,0,0,761,3044,47.3100616016427,"1993/7/30",22.9760438056126,268000,"La Liga","Top Club"
"183","FC Barcelona","Lucas Digne","2016/7/13","Paris SG",14.03,"
                                Defender                            ","France","Meaux",42,3,5,2,2,4,0,0,0,1206,3619,23.5564681724846,"1993/7/20",22.9815195071869,124000,"La Liga","Top Club"
"184","FC Barcelona","Denis Suárez","2016/7/4","Villarreal CF",2.76,"
                                Midfield                            ","Spain","Salceda de Caselas",48,5,13,12,12,4,0,0,0,674,3372,35.8439425051335,"1994/1/6",22.4914442162902,590000,"La Liga","Top Club"
"185","FC Barcelona","Samuel Umtiti","2016/7/12","Olympique Lyon",21.25,"
                                Defender                            ","France","Yaoundé",38,1,0,0,0,9,0,0,0,3378,3378,35.5811088295688,"1993/11/14",22.6584531143053,41200,"La Liga","Top Club"
"186","FC Barcelona","Paco Alcácer","2016/8/30","Valencia CF",25.5,"
                                Attacker                            ","Spain","Torrent",46,15,8,15,15,3,0,0,2,206,3087,NA,"1993/8/30",23.0006844626968,248000,"La Liga","Top Club"
"187","FC Empoli","Matheus Pereira","2016/7/1","Corinthians",1.7,"
                                Midfield                            ","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998/2/25",18.3463381245722,8410,"Serie A","Middle Club"
"188","FC Empoli","Alberto Gilardino","2016/7/7","US Palermo",0,"
                                Attacker                            ","Italy","Biella",34,11,2,8,8,4,0,0,0,218,2396,23.7535934291581,"1982/7/5",34.0068446269678,23700,"Serie A","Middle Club"
"189","FC Empoli","Manuel Pasqual","2016/7/1","Fiorentina",0,"
                                Defender                            ","Italy","San Donà di Piave",21,0,2,6,6,5,0,0,0,NA,1265,NA,"1982/3/13",34.3025325119781,2900,"Serie A","Middle Club"
"190","FC Empoli","Marcel Büchel","2016/7/1","Juventus",1.02,"
                                Midfield                            ","Liechtenstein","Feldkirch",28,2,1,10,10,10,0,0,0,790,1580,NA,"1991/3/18",25.2895277207392,10300,"Serie A","Middle Club"
"191","FC Empoli","Frédéric Veseli","2016/8/16","FC Lugano",0,"
                                Defender                            ","Albania","Renens",38,0,0,1,1,7,0,0,0,NA,3343,NA,"1992/11/20",23.7371663244353,2140,"Serie A","Middle Club"
"192","FC Ingolstadt","Nico Rinderknecht","2016/7/1","Frankfurt U19",0,"
                                Midfield                            ","Germany","Gießen",25,4,4,1,1,9,0,0,1,520,2078,NA,"1997/10/11",18.7214236824093,204,"Bundesliga","Middle Club"
"193","FC Ingolstadt","Kerem Bülbül","2016/7/1","Hertha BSC II",0,"
                                Midfield                            ","Germany","Berlin",6,0,0,3,3,0,0,0,0,NA,266,NA,"1995/1/12",21.4674880219028,185,"Bundesliga","Middle Club"
