"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"139","Crotone","Federico Ceccherini","2016/7/6","AS Livorno",0.765,"
                                Defender                            ","Italy","Livorno",34,2,0,0,0,13,0,0,0,1503,3006,NA,"1992/5/11",24.1533196440794,745,"Serie A","Promoted"
"140","Crystal Palace","Jonathan Benteke","2016/9/1","Zulte Waregem",0.085,"
                                Attacker                            ",NA,NA,17,0,1,16,16,0,0,0,0,NA,257,NA,"1995/4/28",21.347022587269,2510,"Premier league","Middle Club"
"141","Crystal Palace","James Tomkins","2016/7/5","West Ham",9.95,"
                                Defender                            ","England","Basildon",34,4,0,2,2,3,0,1,0,662,2648,NA,"1989/3/29",27.2689938398357,18400,"Premier league","Middle Club"
"142","Crystal Palace","Christian Benteke","2016/8/20","Liverpool",26.52,"
                                Attacker                            ","Belgium","Kinshasa",42,10,6,22,22,3,0,0,1,220,2202,NA,"1990/12/3",25.7138945927447,136000,"Premier league","Middle Club"
"143","Crystal Palace","Andros Townsend","2016/7/1","Newcastle",13.26,"
                                Attacker                            ","England","Walthamstow",27,7,6,5,5,0,0,0,2,285,1992,NA,"1991/7/16",24.9609856262834,54500,"Premier league","Middle Club"
"144","Dep. La Coruña","Juanfran","2016/7/1","Watford",0,"
                                Defender                            ","Spain","Madrid",34,1,2,5,5,4,0,0,0,2591,2591,NA,"1988/9/11",27.8028747433265,39300,"La Liga","Middle Club"
"145","Dep. La Coruña","Bruno Gama","2016/7/1","Dnipro",0,"
                                Attacker                            ","Portugal","Vila Verde",35,4,5,19,19,2,0,0,0,449,1795,NA,"1987/11/15",28.6269678302532,4380,"La Liga","Middle Club"
"146","Dep. La Coruña","Juanfran","2016/7/1","Watford",0,"
                                Attacker                            ","Spain","Villanueva del Río ...",36,15,0,7,7,3,1,1,0,164,2458,NA,"1992/2/13",24.3805612594114,39300,"La Liga","Middle Club"
"147","Dep. La Coruña","Borja Valle","2016/7/1","Real Oviedo",0,"
                                Attacker                            ","Spain","Ponferrada",30,6,4,7,7,4,0,0,0,327,1961,NA,"1992/7/9",23.9780971937029,907,"La Liga","Middle Club"
"148","Dep. La Coruña","Raúl Albentosa","2016/7/9","Derby",0.68,"
                                Defender                            ","Spain","Alzira",31,2,0,2,2,12,0,0,0,1367,2733,NA,"1988/9/7",27.8357289527721,1470,"La Liga","Middle Club"
"149","Dep. La Coruña","Emre Colak","2016/7/1","Galatasaray",0,"
                                Midfield                            ","Turkey","Istanbul",30,3,3,8,8,2,0,1,1,627,1880,NA,"1991/5/20",25.1170431211499,14900,"La Liga","Middle Club"
"150","Dep. La Coruña","Florin Andone","2016/7/22","Córdoba CF",3.4,"
                                Attacker                            ","Romania","Joldesti",36,21,7,0,0,10,0,0,1,153,3223,NA,"1993/4/11",23.2799452429843,8960,"La Liga","Middle Club"
"151","Dep. La Coruña","Fayçal Fajr","2016/7/1","Elche CF",0,"
                                Midfield                            ","Morocco","Rouen",41,5,5,9,9,3,0,0,0,592,2962,NA,"1988/8/1",27.9151266255989,3650,"La Liga","Middle Club"
"152","Dijon","Ádám Lang","2016/8/31","Videoton FC",0.85,"
                                Defender                            ","Hungary","Veszprém",24,0,0,1,1,0,1,0,0,NA,2058,21.9466119096509,"1993/1/17",23.6194387405886,1170,"Ligue 1","Promoted"
"153","Dijon","Arnold Bouka Moutou","2016/7/1","SCO Angers",0.34,"
                                Defender                            ","Congo","Reims",25,2,0,11,11,4,0,0,0,713,1426,11.958932238193,"1988/11/28",27.5893223819302,451,"Ligue 1","Promoted"
"154","Dijon","Mehdi Abeid","2016/8/31","Panathinaikos",0.213,"
                                Midfield                            ","Algeria","Montreuil",34,4,0,8,8,9,0,1,0,561,2243,21.9466119096509,"1992/8/6",24.0684462696783,3970,"Ligue 1","Promoted"
"155","Dijon","Yunis Abdelhamid","2016/7/1","FC Valenciennes",0,"
                                Defender                            ","Morocco","Montpellier",37,2,0,0,0,3,2,0,0,1615,3230,NA,"1987/9/28",28.7583846680356,828,"Ligue 1","Promoted"
"156","Dijon","Valentin Rosier","2016/7/1","Rodez AF",0,"
                                Defender                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996/8/19",19.8658453114305,1260,"Ligue 1","Promoted"
"157","Dijon","Vincent Rüfli","2016/8/4","FC Sion",0,"
                                Defender                            ","Switzerland","Carouge",37,0,4,7,7,9,0,0,0,NA,2856,NA,"1988/1/22",28.5338809034908,516,"Ligue 1","Promoted"
"158","Dijon","Guillaume Sarrabayrouse","2016/7/1","US Colomiers",0,"
                                Midfield                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997/6/14",19.047227926078,406,"Ligue 1","Promoted"
"159","Dijon","Florent Balmont","2016/7/8","LOSC Lille",0,"
                                Midfield                            ","France","Sainte-Foy-lès-Lyon",31,0,1,3,3,7,0,0,0,NA,2183,11.7289527720739,"1980/2/2",36.4298425735797,48900,"Ligue 1","Promoted"
"160","E. Frankfurt","Branimir Hrgota","2016/7/1","Bor. M'gladbach",0,"
                                Attacker                            ","Sweden","Zenica",10,2,0,10,10,0,0,0,0,50,99,NA,"1993/1/12",23.4661190965092,2160,"Bundesliga","Bottom Club"
"161","E. Frankfurt","Omar Mascarell","2016/7/6","Real Madrid",0.85,"
                                Midfield                            ","Spain","Santa Cruz de ...",28,0,1,7,7,6,0,0,0,NA,1882,11.7946611909651,"1993/2/2",23.4223134839151,3320,"Bundesliga","Bottom Club"
